날짜,출처,제목,본문 요약 ,URL
2018.01.01.,뉴데일리,2018년은 정치의 해… 정계개편 격동 예고,"◇더불어민주당=일단 지방선거 전까지는 큰 갈등 요소 없이 평온한 나날을 유지할 것으로 전망된다.... 바른정당으로부터 남경필 경기도지사나 원희룡 제주도지사가 복당할 경우, 경기나 제주의 수성(守城)을 노리는 게...",http://www.newdaily.co.kr/news/article.html?no=364935
2018.01.01.,한겨레,안방극장 ‘이름값’ 전쟁 후끈· 전시장 대가들 회고전 봇물,3대 비엔날레는 지난해 내부 갈등으로 운영진이 물갈이되거나 기획 틀이 대폭 바뀌어 올가을 어떤 변화를... 또 연말 예정된 국립중앙박물관의 대고려전에 앞서 국립대구박물관의 ‘삼국유사’전과 국립제주박물관의...,http://www.hani.co.kr/arti/culture/culture_general/825795.html
2018.01.01.,제주도민일보,"원희룡 지사 ""기반시설 포화 도민불편""","강정마을 구상권을 정부가 철회하면서 일단 갈등 해결의 단초가 마련됐다. 제주도가 앞으로 공동체 회복을 위해 내세울 정책이나 복안은. - 우선 구상권 철회도 (마을공동체)원상회복 중 하나이고, 사면복권도 명예회복...",http://www.jejudomin.co.kr/news/articleView.html?idxno=94952
2018.01.01.,제주의소리,이석주 제주항공 사장 새해 첫날 제주예약센터 방문,"제주항공은 올해 초 예약센터 서울 이전을 추진하다 제주도와 갈등을 빚은 바 있다. 예약센터는 항공권 발권, 예약 취소 등에 대한 전화 상담 서비스를 제공하는 콜센터다. 제주항공은 이후 이전 계획을 백지화하고...",http://www.jejusori.net/?mod=news&act=articleView&idxno=198803
2018.01.01.,헤드라인제주,"원희룡 ""제2공항 합의는 '분리발주'...국토부 최선 다한 것""","원 지사는 최근 를 비롯한 제주도인터넷신문기자협회 소속 기자들과 가진 신년대담에서 제주 제2공항 갈등문제와 관련한 입장을 밝혔다. 원 지사는 ""물론 반대하는 분들의 불신은 끝이 없을 수도 있는 부분은 이해한다...",http://www.headlinejeju.co.kr/?mod=news&act=articleView&idxno=323321
2018.01.01.,한라일보,[신년사]김방훈 자유한국당제주도당 위원장,"이어 ""충분한 민의 수렴을 거치지 않은 제2공항 문제는 이분법적으로 도민의 갈등과 행정의 불신을 키웠던 것도 사실이다""고 말했다. 김 위원장은 ""자유한국당 제주도당은 올 해 시작을 변곡점으로 삼아 지난날 잘못된...",http://www.ihalla.com/read.php3?aid=1514779986583044073
2018.01.01.,헤드라인제주,[전문] 자유한국당 제주도당 2018년 신년인사,그러나 제2공항을 둘러싼 갈등은 해를 넘겨 아직도 우리에게 큰 짐이 되고 있습니다. 존경하고 사랑하는 제주도민 여러분! 지난해 우리 당은 큰 변화를 겪었습니다. 대통령 탄핵의 시련을 겪으면서 당은 분열됐고 도민...,http://www.headlinejeju.co.kr/?mod=news&act=articleView&idxno=323329
2018.01.01.,한국일보,[기고] 황해 해양환경문제에 적극 나서야,"지난해에 이어 올해도 청정 제주 바다에 괭생이모자반이 대량으로 밀려왔다. 괭생이모자반은 ‘제주... 간 갈등과 충돌을 완화하고, 신뢰성 있는 표준데이터의 활용으로 해양 신사업 창출도 가능하게 할 전망이다....",http://www.hankookilbo.com/v/30e660e86e584792bb19780a8bc11f09
2018.01.01.,한라일보,제주도청 앞 제2공항 반대 천막 84일 만에 자진철거,제주 제2공항 성산읍 반대 대책위원회는 1일 오후 2시쯤 제주도청 앞 제2공항 반대 천막 농성장에 대한 자진... 역할과 '셀프검증' 등의 논란으로 인해 갈등은 좀처럼 사그라들지 않고 있다. 송은범기자 seb1119@ihalla.com,http://www.ihalla.com/read.php3?aid=1514786402583055044
2018.01.01.,KBS,[공감이슈] ‘문재인 정부 첫 특별사면의 대상과 내용은?’,"강릉은 7시 40분, 울산 7시 32분, 제주도는 7시 38분경입니다. 새해 쳇 날은 전국이 또 맑기 때문에요. 대부분... 김학린 교수님, 정부는 일단 이들을 사면하면서 사회적인 갈등을 치유하고 국민 통합의 계기를 마련하고자...",http://news.kbs.co.kr/news/view.do?ncd=3589261&ref=A
2018.01.01.,제주의소리,"한국당 도당 ""지방선거, 제주도민 선택받는 당""","자유한국당 제주도당이 1일 신년사를 통해 ""지방선거에서 도민에게 선택받는 당""이 되겠다고 다짐했다.... 둘러싼 갈등은 해를 넘겨 아직도 우리에게 큰 짐이 되고 있다""고 주장했다.한국당 도당은 ""우리당은 대통령 탄핵의...",http://www.jejusori.net/?mod=news&act=articleView&idxno=198813
2018.01.01.,제주일보,"김미와 윤승호 부부 아들 어떤 문제 있기에?, ""사고 칠 때마다 미국 수없이 갔다""","사진 : 방송캡쳐 [제주일보=온라인뉴스팀기자] 김미와 윤승호 부부 아들 어떤 문제 있기에?, ""사고 칠 때마다... 가지 갈등이다""라며 ""아들에게는 연락 안했다. 아마 깜짝 놀랄 거다. 미리 이야기를 안 하는 이유는 아이가...",http://www.jejuilbo.net/news/articleView.html?idxno=72376
2018.01.01.,노컷뉴스,"원희룡 ""지방선거 재도전? 6개월이나 남았다""","제주CBS 신년대담서 ""강정주민 사면복권 조속히 이뤄져야"" [제주CBS 류도성 아나운서]■ 방송 : CBS 라디오... 그리고 어떤 변화도 가다 보면 이해관계나 어떤 의견의 차이가 있기 때문에 그로 인한 갈등과 혼선도 일고 있는 것...",http://www.nocutnews.co.kr/news/4900406
2018.01.01.,부산일보,'금한령'쯤이야… 김해공항 여객 작년 1640만 돌파,"올해 한국과 중국 간 사드 갈등에도 김해공항 항공기는 훨훨 날았다. 지난해 1~11월까지 조사 결과 김해공항 여객은 10.1% 늘어 인천(7.2%), 제주(-0.5%), 김포(0.3%)를 크게 앞질렀다. 김해공항 여객의 폭풍 증가세에 중...",http://news20.busan.com/controller/newsController.jsp?newsId=20180101000179
2018.01.01.,광주매일신문,광주공항 이전 어떻게 돼가나?,"김포·제주 등의 노선이 운항되고 있다. 광주 군공항(831만㎡)이 이전한 1964년 당시만 해도 주변은... (사)한국갈등해결센터 이사, 김동헌 광주경실련 사무처장이 토론자로 참여했다. 토론회 에서는 ▲신 군공항은 기존...",http://www.kjdaily.com/read.php3?aid=1514805751426840036
2018.01.01.,경기일보,[새천년 경기도 대표 도서관 만든다] 1. 복합공간 플랫폼 구축,"그러나 이들 중 도서행정 컨트롤타워로의 도서관을 신설한 곳은 서울과 인천, 전남, 제주 등 4곳에 불과하다.... 남경필 지사는 “대표도서관은 사람과 사람사이에 발생하는 갈등과 아픔을 치유할 수 있는 휴식과...",http://www.kyeonggi.com/?mod=news&act=articleView&idxno=1428923
2018.01.02.,한라일보,"[사설] 새해 해결 과제 산적, 제주사회 중대한 기로",제주 최대현안으로 부각될 정도로 갈등이 심화되고 있다. 제2공항 반대 주민들이 전면 재검토를 요구하며 삭발투쟁과 단식농성에도 강행하고 있기 때문이다. 이밖에 대중교통체계 안착을 비롯해 과부하 걸린 하수처리장...,http://www.ihalla.com/read.php3?aid=1514818800583074043
2018.01.02.,데일리안언론사,[Great Korea] “최적 지방선거 조합을 찾아라” 고개든 정계개편 시나리오,"반대파의 갈등으로 홍역을 앓고 있다. 민주당, 변수는 당심과 민심 괴리 민주당은 내년 지방선거를 위한... 보수성향이 강한 경기, 제주, 강원 등을 놓고 당내 인사들과 복당을 준비하는 인사들 간 전략공천을 놓고 승패를...",http://www.dailian.co.kr/news/view/683974/?sc=naver
2018.01.02.,이투뉴스,8차 장기 송변전설비계획 상반기 수립·확정,송변전설비 민원 및 갈등은 올해도 충남권이 최대 화약고다. 아산 신탕정변전소에서 서해대교 인근... 제주도 육상연계 전력망도 올해가 변곡점이다. 한전은 오는 9월부터 내년 2월까지 전남 해남과 제주...,http://www.e2news.com/news/articleView.html?idxno=105070
2018.01.02.,제주의소리,제주 제2공항 후보지 발표 2년째 성산 민심도 ‘뒤숭숭’,근데 그 때문에 갈등이 생겨서는 안돼. 제2공항으로 마을이 쪼개지는 일은 없어야지” ▲ 제주 제2공항 후보지인 서귀포시 성산읍 온평마을 입구에 걸린 깃발. 온평리는 제2공항 예정부지 선정으로 2년째 뒤숭숭한...,http://www.jejusori.net/?mod=news&act=articleView&idxno=198737
2018.01.02.,한강타임즈,국회 여야 입장에서 본 김정은 신년사 분석은?,"남남 갈등을 야기시키려는 전략적 책동인지 UN등 국제사회에 대북제재을 풀어달라는 출구전략인지 '北의... 김정은 신년사에 대해 특히 홍정식 대표는 ""또 2009년부터 제주도 마라도 등지에서 한반도평화와 공존을 위한...",http://www.hg-times.com/news/articleView.html?idxno=170211
2018.01.02.,국제뉴스,[신년사] 자유한국당 제주도당 김방훈위원장,그러나 제2공항을 둘러싼 갈등은 해를 넘겨 아직도 우리에게 큰 짐이 되고 있습니다. 존경하고 사랑하는 제주도민 여러분! 지난해 우리 당은 큰 변화를 겪었습니다. 대통령 탄핵의 시련을 겪으면서 당은 분열됐고 도민...,http://www.gukjenews.com/news/articleView.html?idxno=850113
2018.01.02.,시사제주,도정 정책 민원 지속 '증가'...스마트 통합관리시스템 구축,도민에게 믿음을 주고 갈등 치유로 화합을 다지기 위한 도민 건의사항 스마트 통합관리시스템을 구축하고 사회협약위원회 기능을 강화한다. 제주특별자치도는 도민과의 대화시 민원처리 지연에 대한 도민 불만족 목소리가...,http://www.sisajeju.com/news/articleView.html?idxno=288724
2018.01.02.,헤드라인제주,[전문] 이상순 서귀포시장 2018년 신년사,"ⓒ헤드라인제주 희망과 감동이 용트림 하는 무술년 새해가 밝았다. 지난 한 해 묵묵하게 최선을 다해주신... 강정지역 공동체 회복, 제2공항 갈등 해소를 위해 지속적인 소통을 강화함은 물론, 관련 정책을 주민의 입장에서...",http://www.headlinejeju.co.kr/?mod=news&act=articleView&idxno=323352
2018.01.02.,미디어제주,"김우남 ""완전히 새로운 제주"" VS 원희룡 ""행복특별자치도 제주""","# 원희룡 ""강정마을과 제2공항 갈등 해결, 화해와 상생의 공동체 첫 발"" 지난해말 바른정당 소속 제주도의회 의원들의 자유한국당 복당, 바른정당과 국민의당의 통합 추진으로 정치적 입지가 좁아지게 된 원희룡...",http://www.mediajeju.com/news/articleView.html?idxno=302160
2018.01.02.,파이낸셜뉴스,'유명무실' 제주도사회협약위원회 역할 기능 확대 추진,사회협약위원회는 제주도의 공식적인 사회갈등 관련 기구로서 잠재적 또는 표출된 사회갈등을 예방.관리.해소하기 위해 지난 2006년 7월 제주특별자치도 출범과 함께 전국 지자체중 처음 도입됐다. 그러나 자문기능에...,http://www.fnnews.com/news/201801021039489492
2018.01.02.,이투데이,"[민선 7기, 지방선거의 해] 정권 심판? 여당 프리미엄?",아울러 제주특별자치도(원희룡)에도 깃발을 꽂으면서 기세를 더했다. 반면 2010년 제5회 지방선거에서는... 따라서 향후 여당의 공천 과정에서 당내 갈등이 표출된다면 민심이 이반할 가능성도 있다.,http://www.etoday.co.kr/news/section/newsview.php?idxno=1580165
2018.01.02.,노컷뉴스,'제주지사 선거' 원희룡 선택따라 출렁,"제주4.3의 완전한 해결과 제2공항 갈등 해소, 제주해군기지 문제 해결 등의 오래된 과제도 도민 공감대 속에 풀어나가야 한다. 중요한 의미를 갖는 선거인 만큼 관전 포인트도 흥미롭다. 우선 바른정당 소속 원희룡 현...",http://www.nocutnews.co.kr/news/4900663
2018.01.02.,헤드라인제주,"원희룡 지사 ""새해, 도민들의 도정참여 플랫폼 적극 운영할 것""","▲ 2일 열린 제주도청 2018년 시무식. ⓒ헤드라인제주 원희룡 제주도지사는 2일 ""새해에는 주민들이 주도하는... 원 지사는 이 자리에서 서귀포시 강정마을 갈등 해소 문제와, 성산읍 제2공항 반대 주민들과의 화해와...",http://www.headlinejeju.co.kr/?mod=news&act=articleView&idxno=323355
2018.01.02.,헤드라인제주,[전문] 원희룡 제주도지사 2018년 시무식 신년사,제주가 마주한 수많은 도전을 함께 헤쳐 나가주시는 공직자 여러분께 온 마음으로 새해 인사를 드립니다.... 지난해 12월 12일 정부의 구상권 철회로 강정마을 갈등 해결의 문을 열었습니다. 그리고 12월 26일에는...,http://www.headlinejeju.co.kr/?mod=news&act=articleView&idxno=323357
2018.01.02.,연합뉴스,'건의 처리' 도지사도 도민도 한 눈에 본다… 제주 새 시스템,"원희룡 제주도지사 [제주도 제공=연합뉴스 자료사진] 도민들의 건의와 민원, 행정의 약속사항을 누구든지... 간 갈등을 해소하기 위해 제도를 개선해 사회협약위원회의 역할과 기능을 확대한다. 전담조직(담당)을...",http://app.yonhapnews.co.kr/YNA/Basic/SNS/r.aspx?c=AKR20180102080600056&did=1195m
2018.01.02.,시사제주,"신년사에 나타난 '지방선거, 제주 키워드'는 '도민 행복' 그리고...","원 지사는 강정마을 공동체 회복과 제2공항 갈등 해결, 도민이 참여하는 진정한 민관의 협치 시대, 성장과 분배가 선순환하는 따뜻한 공동체도 언급했다. 그는 ""올해는 제주 4·3 70주년을 맞는다""면서 ""화해와 상생, 평화와...",http://www.sisajeju.com/news/articleView.html?idxno=288722
2018.01.02.,슬로우뉴스,주간 뉴스 큐레이션: 사라진 스텔라데이지호를 찾아서,"공동체가 갈등 조정을 포기한 사이, 장애인 엄마들이 투사가 되어 직접 싸우고 있다. ● 주간경향 [장애아... 제주도 특성화고에 재학 중이던 고 이민호 군이다. 회사도 사과하고 정부도 대책을 발표했지만, 특성화고...",http://slownews.kr/67542
2018.01.02.,KBS,[정치포커스] ‘김정은 신년사를 통한 남북관계 전망’,"□ 이진곤 네, 그동안에 우리가 사회적으로도 굉장히 갈등이 많은 그런 시간을 보냈습니다. 이것이 이념적... 그래서 우리 모두가 서울에서부터 또 저기 제주도까지 이렇게 다 나뉘어살아도 우리가 그렇게 서로를 이해해...",http://news.kbs.co.kr/news/view.do?ncd=3589583&ref=A
2018.01.02.,뉴스1,"""힘찬 전진·새로운 도약""…무술년 제주도민 신년인사회","원 지사는 신년사에서 ""제주는 급속한 성장의 한복판에서 많은 갈등과 고통을 안고 있는 것이 사실""이라며 ""일시적인 혼란과 고통, 반발이 있다고 해서 미래를 대비하는 근본적인 제주의 과제를 미뤄놓거나 회피할 순...",http://news1.kr/articles/?3195930
2018.01.02.,이데일리,"[강식당 종영D-DAY]③‘윤식당2’ 바통터치, 나영석 PD의 큰 그림","제주도 바다는 인트로 화면으로 등장하는 수준이다. 멤버들은 내내 식당과 숙소, 마트를 오가며 재료를... 주방에 초점을 맞춰 그들의 시행착오나 갈등까지 그대로 보여준다. 결국 ‘강식당’의 신효정 PD, ‘윤식당’의...",http://starin.edaily.co.kr/news/newspath.asp?newsid=01282486619073784
2018.01.02.,한라일보,도민 건의·민원 도지사가 직접 챙긴다,제주자치도는 이와 함께 도민화합과 사회통합을 위한 계층 간 갈등을 해소하기 위해 사회협약위원회의 권한을 확대하는 등의 제도개선 추진과 전담조직 신설을 비롯하 갈등 전문가 채ㅤㅊㅛㅇ으로 사회협약위원회 역할과...,http://www.ihalla.com/read.php3?aid=1514870473583120073
2018.01.02.,헤드라인제주,민원.건의사항 일일분석.피드백 '스마트 통합관리시스템' 구축,"제주특별자치도는 올해 '소통강화로 품격있는 자치행정 실현'을 목표로 '민원만족 시스템을 구축하고, 갈등 봉합과 도민 화합의 대화행정을 최우선으로 하는 해'로 방향을 정립해 정책을 펼친다고 2일 밝혔다. 최근...",http://www.headlinejeju.co.kr/?mod=news&act=articleView&idxno=323373
2018.01.02.,미디어제주,[새해설계] 원희룡 제주도지사 2018년 신년사,"도민과 함께 하는 행복특별자치도 제주를 만들어 나가겠습니다. 화해와 상생의 공존 공동체를 만들겠습니다. 강정마을 공동체 회복, 제2공항 갈등 해결이 출발점입니다. 도민이 주도하는 민주적 공동체를 만들어 나가고...",http://www.mediajeju.com/news/articleView.html?idxno=302169
2018.01.02.,제주의소리,[신년사] 제주도체육회 각 종목단체장,특히 이번 2018년도에는 통합체육으로의 변화를 보인 과정에서 크고 작은 갈등과 분열을 딛고 체육인들이 하나로 화합하여 힘을 합쳐 나아가야 할 때 입니다. 항상 제주특별자치도의 체육을 사랑하고 성원해주시는 모든...,http://www.jejusori.net/?mod=news&act=articleView&idxno=198841
2018.01.02.,제주의소리,"무술년 제주도민 신년인사회 ""더 나은 미래 나아가자""","희망찬 무술년 새해는 모든 일이 '다사'하지만 '다복'한 새해가 되길 바란다""며 ""최근 제주도는 급속한 인구증가와 성장, 다양한 개발사업 등으로 인해 곳곳에서 크고 작은 갈등들이 표출되고 있지만 현명한 제주도민들과...",http://www.jejusori.net/?mod=news&act=articleView&idxno=198840
2018.01.02.,미디어제주,[새해설계] 위성곤 국회의원 신년사,또한 도민들의 노력으로 지난해 우리는 제주사회 최대 현안이던 강정마을 구상권 철회를 이뤄냈습니다. 이를 계기로 갈등이 아닌 평화의 강정 공동체로 다시 일어 설 수 있도록 함께 힘을 모아야 합니다. 지난...,http://www.mediajeju.com/news/articleView.html?idxno=302177
2018.01.02.,제주의소리,"20분 마이크 잡은 원희룡 지사…신년인사회, 출정식 방불","존경하는 도민 여러분 우리 제주는 급속한 성장에 한복판에서 많은 갈등과 많은 고통을 안고 있는 것이 사실입니다. 일시적인 혼란과 일시적인 고통, 일시적인 반발이 있다고 해서 우리 미래를 대비하는 근본적인 제주의...",http://www.jejusori.net/?mod=news&act=articleView&idxno=198842
2018.01.02.,제민일보,"""현안 도민대통합으로 해결""","환경에 미치는 영향, 인근 주민과의 갈등 등 제주사회에 미치는 영향이 크고 장기적이기 때문에 신중한 검토가 필요하다. '랜딩카지노업 영업장소의 면적 변경허가 신청에 따른 의견 제시의 건'은 사안의 중요성에 비해서...",http://www.jemin.com/news/articleView.html?idxno=489043
2018.01.02.,제민일보,자치역량 제고·지역 공동체 회복,특별도 권한 확대 전망…조직 정비·행정체제 검토 과제 의회 견제·감시 기능과 유권자 지방선거 주권 행사 중요 4·3 과제 발굴과 2공항·해군기지 갈등 해결로 상처 치유 제민일보가 2018년 새해 주제로 '더 큰 제주...,http://www.jemin.com/news/articleView.html?idxno=489055
2018.01.02.,노컷뉴스,"고충홍 의장 ""지역구에서 나오라면 그때 고민할 문제""","분열과 갈등, 대립과 증오를 뛰어 넘어 제주가 세계평화의 섬으로 거듭날 수 있도록 도민적 역량이 모아졌으면 합니다. ◇ 류도성> 그리고 지방분권이 강화되는 방향으로 개헌이 추진되고 있습니다. 특별자치도와 완성을...",http://www.nocutnews.co.kr/news/4900608
2018.01.02.,제주신보,문명의 공존 그려내다,인간문명의 갈등을 표현한 신 작가의 작품들을 제주서도 만나볼 수 있게 됐다. 제주 연갤러리는 6일부터 31일까지 연갤러리 1층에서 신제남 작가의 '문명의 공존'을 마련한다. 문명의 공존을 주제로 한 작품 23점과 인체...,http://www.jejunews.com/news/articleView.html?idxno=2027950
2018.01.02.,제주신보,"고충홍 의장 ""제주 발전·도민 복지 증진에 최선""","""올해도 도민 우선의 원칙에 따라 제주 발전과 도민 복지 증진을 위해 최선을 다하겠습니다. "" 고충홍... 도민통합 없이 우리가 얻을 수 있는 것은 그리 많지 않다""며 ""다양한 갈등 해결이 그 첫걸음이 돼야 한다""고...",http://www.jejunews.com/news/articleView.html?idxno=2027953
2018.01.02.,제주신보,'행복한 제주' 항해 시작한 특별자치도號,"제2공항 갈등, 강정마을 공동체 회복, 난개발 방지와 성장통 극복, 대중교통 혁신. 도민 주거난 해소, 신성장동력 산업 육성, 양질의 일자리 창출 등은 제주호 앞에 놓인 풍랑과 암초다. 이와 관련해 원희룡 지사는...",http://www.jejunews.com/news/articleView.html?idxno=2027965
2018.01.02.,금강일보,대전 사립유치원 급식비 추가 지원 필요하다,또한 충남도와 도교육청은 올해부터 예산의 절반씩을 부담해 식품비를 지원하기로 했고 제주는 식품비... 지난 정부 내내 혼란을 주었던 갈등이 해소됐기 때문이다. 하지만 부담의 주체만 바뀌었을 뿐 사립유치원과...,http://www.ggilbo.com/news/articleView.html?idxno=434058
2018.01.02.,제주일보,"한 칸의 색깔들이 모여, 색동",[제주일보] 어린 시절 명절 때면 엄마가 챙겨주신 한복을 입고 차례를 지냈던 기억이 있다. 체격이... 진진이가 태어나서 27일이 지날 무렵 부모의 갈등이 깊어져 엄마가 경찰의 도움을 받아 쉼터로 이주했다. 그 후 서로...,http://www.jejuilbo.net/news/articleView.html?idxno=72535
2018.01.02.,제주일보,서귀포시 문화예술 관람객 큰 폭 감소,[제주일보=신정익 기자] 지난해 서귀포시 지역에서 열린 각종 문화예술 행사는 크게 늘었지만 관람객은... 사드(THAADㆍ고고도미사일방어체계) 배치 갈등으로 인한 중국인 관광객 감소와 경기침체 등에 따른...,http://www.jejuilbo.net/news/articleView.html?idxno=72534
2018.01.02.,노컷뉴스,"바른정당 ""국당 통합 반대파들? 집 나가면 고생""","◆ 이종철> 김정은의 신년사는 그야말로 통미봉남, 남남갈등의 전형적인 그런 어떤 전략을 그대로 보여주고... ◇ 정관용> 이번 지방선거에서 지금 바른정당이 경기지사와 제주도지사를 갖고 있지 않습니까? 이번...",http://www.nocutnews.co.kr/news/4901108
2018.01.02.,헤드라인제주,"[전문] 고충홍 제주특별자치도의회 의장, 2018 시무식 신년사",그리고 산적한 제주의 현안들이 실타래 풀리듯 잘 풀려서 제주가 한 단계 더 도약하는 해가 됐으면... 다양한 갈등해결은 그 첫걸음이 되어야 합니다. 4·3특별법 개정을 위해 4·3유족회는 물론 도내 각 정당들이 한목소리를...,http://www.headlinejeju.co.kr/?mod=news&act=articleView&idxno=323398
2018.01.03.,경인일보,[경인칼럼]관광 만능주의는 위험하다,"전 제주에 신혼집을 마련한 가수 이효리가 몰려드는 관광객들에게 ""우리집은 관광코스가 아니다""라고... 반관광운동으로 갈등을 겪고 있다. 이에 따라 바르셀로나는 호텔 신축을 불허하고 숙박공유시설의 단속으로 연간...",http://www.kyeongin.com/main/view.php?key=20180102010000515
